"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"2",55,"3",0,"1","1","5","1","2",2,0,1,0,"2",55,"1","5","3",29035.617725,0.84
"1",24,"3",0,"1","1","4","1","2",3,1,0,0,"2",22,"1","4","6",91660.998094,2.12
"1",80,"4",0,"1","1","3","1","2",3,0,0,2,"2",78,"1","4","1",13005.585762,3.07
"1",76,"4",0,"2","1","4","1","2",2,0,0,2,"1",76,"2","4","1",9554.943993,5
"1",80,"3",1,"1","1","5","1","2",2,0,0,2,"2",77,"1","5","1",30134.270058,3.87
"2",23,"4",1,"1","1","4","1","2",1,0,0,0,"1",24,"1","4","5",27978.775033,0.77
"2",53,"4",1,"1","1","5","1","2",1,0,0,0,"2",53,"1","5","5",30652.046054,3.48
"1",77,"3",1,"1","1","4","1","2",2,0,0,2,"1",77,"1","4","1",82342.218737,5
"1",78,"4",1,"1","1","4","1","2",2,0,0,2,"2",76,"1","3","1",10521.219928,3.56
"1",80,"3",1,"1","1","5","1","2",2,0,0,2,"1",80,"1","5","1",36117.581178,5
"1",64,"1",0,"2","2","1","2","2",4,0,0,2,"1",64,"2","1","1",8748.134024,1.26
"1",71,"3",1,"1","1","5","1","2",3,0,1,1,"1",71,"1","5","1",50159.594859,5
"1",67,"4",1,"1","1","4","1","2",1,0,0,1,"1",67,"1","4","2",11965.601623,1.97
"1",71,"3",1,"1","1","5","1","2",2,0,0,1,"1",71,"1","5","1",79751.806605,2.38
"2",75,"3",0,"2","2","2","1","2",1,0,0,1,"2",75,"2","2","2",41833.745138,0.91
"1",32,"4",0,"1","1","2","1","2",1,0,0,0,"2",29,"1","2","5",21527.63823,1.29
"1",80,"3",1,"1","1","4","1","2",1,0,0,1,"1",80,"1","4","2",27542.95231,3.92
"1",29,"2",1,"1","1","4","1","2",6,2,2,0,"2",31,"1","4","1",43504.96459,0.06
"1",67,"4",1,"1","1","5","1","2",2,0,0,1,"1",67,"1","5","1",6435.130313,5
"2",40,"4",0,"1","1","5","1","2",3,0,2,0,"2",40,"1","5","6",20719.448832,5
"1",32,"4",0,"1","1","5","1","2",4,2,0,0,"1",32,"1","5","1",21679.511567,3.4
"2",69,"2",0,"2","1","3","1","2",1,0,0,1,"2",69,"2","3","3",11621.443799,2.23
"1",49,"3",1,"1","1","4","1","2",3,1,2,0,"2",39,"1","4","3",20299.088456,1.52
"1",34,"3",0,"1","1","5","1","2",4,2,0,0,"1",34,"1","5","1",58125.464346,5
"1",73,"3",1,"1","1","1","1","2",2,0,0,2,"1",73,"1","1","1",18650.131883,0.64
"1",48,"2",1,"1","1","5","1","2",3,1,0,0,"2",29,"1","4","1",23376.558978,5
"1",37,"1",0,"1","1","4","1","2",4,1,1,0,"1",37,"1","4","1",47397.537439,5
"2",66,"3",0,"1","1","4","1","2",2,0,0,2,"1",65,"1","5","1",74311.781717,5
"1",40,"4",1,"1","1","5","1","2",5,0,3,0,"1",40,"1","5","1",23568.774431,1.31
"1",67,"4",1,"1","1","3","1","2",2,0,0,1,"1",67,"1","3","1",17020.296478,5
"1",58,"3",1,"1","1","3","1","2",2,0,0,1,"1",80,"1","4","2",18142.299743,1.21
"2",50,"3",0,"1","1","5","1","2",1,0,0,0,"2",50,"1","5","5",109390.28714,5
